bigmacindex,engsal,engtax
31,44.3,44.1
33,19.4,23.7
98,15.4,20.3
131,4.7,37.6
31,49.8,50.7
105,15,18.5
103,5.3,6.1
18,56.5,33.1
39,54.3,44.8
29,43.4,39.5
22,64.6,32.8
22,51.5,41.8
21,64.3,28.1
40,42.6,38.5
24,18.3,8.7
27,29.5,23.1
35,24.2,32
57,12.1,17.9
130,1.9,13.3
36,24.4,20.8
20,60,40.6
20,68.3,28.1
54,36.9,28
165,3.5,15.5
235,3.8,8.4
33,39.9,29.7
21,33.6,33.9
82,4.3,8.9
26,48,27
40,20.3,23.6
43,26.9,37
66,12.1,22.3
39,38.8,27.2
79,9.5,19.5
106,9.2,22.7
30,18.8,7.9
70,23.4,29
61,26.3,55
18,27.2,27.1
34,24.2,11.6
33,17.6,13.1
21,34.9,16.9
20,45.5,31.6
30,49.5,32.4
20,71.7,27.5
